neighborhood_municipality,indv_tested,cases,deaths,update_date
North Shore (Pittsburgh),254,27,0,2021-04-05
North Versailles,3331,698,9,2021-04-05
Northview Heights (Pittsburgh),397,61,4,2021-04-05
O'Hara,3139,506,4,2021-04-05
Oakdale,473,107,4,2021-04-05
Oakmont,3978,588,16,2021-04-05
Oakwood (Pittsburgh),262,62,0,2021-04-05
Ohio,2527,465,4,2021-04-05
Overbrook (Pittsburgh),1203,270,5,2021-04-05
Penn Hills,13201,2822,60,2021-04-05
Pennsbury Village,250,57,0,2021-04-05
Perry North (Pittsburgh),1306,261,4,2021-04-05
Perry South (Pittsburgh),1669,299,3,2021-04-05
Pine,4729,961,7,2021-04-05
Pitcairn,10,1,0,2021-04-05
Pleasant Hills,3016,760,19,2021-04-05
Plum,8235,1989,45,2021-04-05
Point Breeze (Pittsburgh),2319,205,2,2021-04-05
Point Breeze North (Pittsburgh),801,98,2,2021-04-05
Polish Hill (Pittsburgh),490,65,0,2021-04-05
Port Vue,1209,275,5,2021-04-05
Rankin,518,94,1,2021-04-05
Regent Square (Pittsburgh),417,43,3,2021-04-05
Reserve,982,234,2,2021-04-05
Richland,3806,854,36,2021-04-05
Ridgemont (Pittsburgh),125,25,0,2021-04-05
Robinson,5350,1149,13,2021-04-05
Ross,10726,2321,85,2021-04-05
Rosslyn Farms,120,14,0,2021-04-05
Scott,6694,1267,57,2021-04-05
Sewickley,1294,228,2,2021-04-05
Sewickley Heights,353,48,1,2021-04-05
Sewickley Hills,185,35,0,2021-04-05
Shadyside (Pittsburgh),6997,672,17,2021-04-05
Shaler,8736,2007,33,2021-04-05
Sharpsburg,989,134,2,2021-04-05
Sheraden (Pittsburgh),1525,330,3,2021-04-05
South Fayette,5094,1298,44,2021-04-05
South Oakland (Pittsburgh),1333,224,4,2021-04-05
South Park,4182,952,6,2021-04-05
South Shore (Pittsburgh),104,12,0,2021-04-05
South Versailles,102,24,1,2021-04-05
Southside Flats (Pittsburgh),3577,740,5,2021-04-05
Southside Slopes (Pittsburgh),1487,317,1,2021-04-05
Spring Garden (Pittsburgh),227,40,0,2021-04-05
Spring Hill-City View (Pittsburgh),1024,232,10,2021-04-05
Springdale Borough,1053,228,5,2021-04-05
Springdale Township,517,98,0,2021-04-05
Squirrel Hill North (Pittsburgh),5592,384,6,2021-04-05
Squirrel Hill South (Pittsburgh),7461,761,31,2021-04-05
St. Clair (Pittsburgh),52,8,0,2021-04-05
Stanton Heights (Pittsburgh),1585,251,5,2021-04-05
Stowe,1796,429,7,2021-04-05
Strip District (Pittsburgh),894,120,0,2021-04-05
Summer Hill (Pittsburgh),306,76,1,2021-04-05
Swisshelm Park (Pittsburgh),489,53,0,2021-04-05
Swissvale,3019,490,5,2021-04-05
Tarentum,1374,303,1,2021-04-05
Terrace Village (Pittsburgh),657,134,1,2021-04-05
Thornburg,172,36,0,2021-04-05
Trafford,11,5,0,2021-04-05
Troy Hill (Pittsburgh),971,143,2,2021-04-05
Turtle Creek,1659,369,8,2021-04-05
Undefined,20561,1661,27,2021-04-05
Undefined (Pittsburgh),19,3,0,2021-04-05
Upper Hill (Pittsburgh),670,110,4,2021-04-05
Upper Lawrenceville (Pittsburgh),1059,128,2,2021-04-05
Upper Saint Clair,7382,1356,20,2021-04-05
Verona,771,147,2,2021-04-05
Versailles,510,126,5,2021-04-05
Wall,135,40,3,2021-04-05
West Deer,3728,893,26,2021-04-05
West Elizabeth,110,36,0,2021-04-05
West End (Pittsburgh),82,16,0,2021-04-05
West Homestead,626,139,2,2021-04-05
West Mifflin,6574,1568,11,2021-04-05
West Oakland (Pittsburgh),1093,188,1,2021-04-05
West View,1933,397,2,2021-04-05
Westwood (Pittsburgh),968,263,1,2021-04-05
Whitaker,379,107,1,2021-04-05
White Oak,2582,602,17,2021-04-05
Whitehall,5318,1554,46,2021-04-05
Wilkins,2115,436,6,2021-04-05
Wilkinsburg,5576,929,29,2021-04-05
Wilmerding,535,119,1,2021-04-05
Windgap (Pittsburgh),395,79,1,2021-04-05
